Date,Open,High,Low,Close,Adj Close,Volume
2022-05-04,159.669998,166.479996,159.259995,166.020004,163.92189,108256500
2022-05-05,163.850006,164.080002,154.949997,156.770004,154.788773,130525300
2022-05-06,156.009995,159.440002,154.179993,157.279999,155.520477,116124600
2022-05-09,154.929993,155.830002,151.490005,152.059998,150.358887,131577900
2022-05-10,155.520004,156.740005,152.929993,154.509995,152.781494,115366700
2022-05-11,153.5,155.449997,145.809998,146.5,144.861084,142689800
2022-05-12,142.770004,146.199997,138.800003,142.559998,140.965164,182602000
2022-05-13,144.589996,148.100006,143.110001,147.110001,145.464279,113990900
2022-05-16,145.550003,147.520004,144.179993,145.539993,143.911835,86643800
2022-05-17,148.860001,149.770004,146.679993,149.240005,147.570465,78336300
2022-05-18,146.850006,147.360001,139.899994,140.820007,139.244644,109742900
2022-05-19,139.880005,141.660004,136.600006,137.350006,135.813461,136095600
2022-05-20,139.089996,140.699997,132.610001,137.589996,136.050781,137426100
2022-05-23,137.789993,143.259995,137.649994,143.110001,141.509018,117726300
2022-05-24,140.809998,141.970001,137.330002,140.360001,138.789764,104132700
2022-05-25,138.429993,141.789993,138.339996,140.520004,138.947998,92482700
2022-05-26,137.389999,144.339996,137.139999,143.779999,142.171494,90601500
2022-05-27,145.389999,149.679993,145.259995,149.639999,147.965958,90978500
2022-05-31,149.070007,150.660004,146.839996,148.839996,147.174911,103718400
2022-06-01,149.899994,151.740005,147.679993,148.710007,147.046341,74286600
2022-06-02,147.830002,151.270004,146.860001,151.210007,149.518387,72348100
2022-06-03,146.899994,147.970001,144.460007,145.380005,143.753616,88570300
2022-06-06,147.029999,148.570007,144.899994,146.139999,144.505096,71598400
2022-06-07,144.350006,149.0,144.100006,148.710007,147.046341,67808200
2022-06-08,148.580002,149.869995,147.460007,147.960007,146.304779,53950200
2022-06-09,147.080002,147.949997,142.529999,142.639999,141.044266,69473000
2022-06-10,140.279999,140.759995,137.059998,137.130005,135.595901,91437900
2022-06-13,132.869995,135.199997,131.440002,131.880005,130.404648,122207100
2022-06-14,133.130005,133.889999,131.479996,132.759995,131.274796,84784300
2022-06-15,134.289993,137.339996,132.160004,135.429993,133.914917,91533000
2022-06-16,132.080002,132.389999,129.039993,130.059998,128.60498,108123900
2022-06-17,130.070007,133.080002,129.809998,131.559998,130.088211,134520300
2022-06-21,133.419998,137.059998,133.320007,135.869995,134.350006,81000500
2022-06-22,134.789993,137.759995,133.910004,135.350006,133.835846,73409200
2022-06-23,136.820007,138.589996,135.630005,138.270004,136.723145,72433800
2022-06-24,139.899994,141.910004,139.770004,141.660004,140.075241,89116800
2022-06-27,142.699997,143.490005,140.970001,141.660004,140.075241,70207900
2022-06-28,142.130005,143.419998,137.320007,137.440002,135.902451,67083400
2022-06-29,137.460007,140.669998,136.669998,139.229996,137.672394,66242400
2022-06-30,137.25,138.369995,133.770004,136.720001,135.190491,98964500
2022-07-01,136.039993,139.039993,135.660004,138.929993,137.375763,71051600
2022-07-05,137.770004,141.610001,136.929993,141.559998,139.976334,73353800
2022-07-06,141.350006,144.119995,141.080002,142.919998,141.321121,74064300
2022-07-07,143.289993,146.550003,143.279999,146.350006,144.712784,66253700
2022-07-08,145.259995,147.550003,145.0,147.039993,145.395035,64547800
2022-07-11,145.669998,146.639999,143.779999,144.869995,143.249313,63141600
2022-07-12,145.759995,148.449997,145.050003,145.860001,144.228241,77588800
2022-07-13,142.990005,146.449997,142.119995,145.490005,143.862381,71185600
2022-07-14,144.080002,148.949997,143.25,148.470001,146.809067,78140700
2022-07-15,149.779999,150.860001,148.199997,150.169998,148.490051,76259900
2022-07-18,150.740005,151.570007,146.699997,147.070007,145.424683,81420900
2022-07-19,147.919998,151.229996,146.910004,151.0,149.31073,82982400
2022-07-20,151.119995,153.720001,150.369995,153.039993,151.327927,64823400
2022-07-21,154.5,155.570007,151.940002,155.350006,153.612061,65086600
2022-07-22,155.389999,156.279999,153.410004,154.089996,152.36618,66675400
2022-07-25,154.009995,155.039993,152.279999,152.949997,151.238937,53623900
2022-07-26,152.259995,153.089996,150.800003,151.600006,149.904053,55138700
2022-07-27,152.580002,157.330002,152.160004,156.789993,155.03595,78620700
2022-07-28,156.979996,157.639999,154.410004,157.350006,155.589722,81378700
2022-07-29,161.240005,163.630005,159.5,162.509995,160.691956,101786900
2022-08-01,161.009995,163.589996,160.889999,161.509995,159.703186,67829400
2022-08-02,160.100006,162.410004,159.630005,160.009995,158.21994,59907000
2022-08-03,160.839996,166.589996,160.75,166.130005,164.271484,82507500
2022-08-04,166.009995,167.190002,164.429993,165.809998,163.955063,55474100
2022-08-05,163.210007,165.850006,163.0,165.350006,163.727325,56697000
2022-08-08,166.369995,167.809998,164.199997,164.869995,163.252014,60276900
2022-08-09,164.020004,165.820007,163.25,164.919998,163.301544,63135500
2022-08-10,167.679993,169.339996,166.899994,169.240005,167.579163,70170500
2022-08-11,170.059998,170.990005,168.190002,168.490005,166.836487,57149200
2022-08-12,169.820007,172.169998,169.399994,172.100006,170.411057,68039400
2022-08-15,171.520004,173.389999,171.350006,173.190002,171.490402,54091700
2022-08-16,172.779999,173.710007,171.660004,173.029999,171.331955,56377100
2022-08-17,172.770004,176.149994,172.570007,174.550003,172.837036,79542000
2022-08-18,173.75,174.899994,173.119995,174.149994,172.440948,62290100
2022-08-19,173.029999,173.740005,171.309998,171.520004,169.836777,70346300
2022-08-22,169.690002,169.860001,167.139999,167.570007,165.925507,69026800
