Date,Open,High,Low,Close,Adj Close,Volume
2019-05-14,126.022942,128.412994,125.889099,127.447418,101.300751,3431298
2019-05-15,126.759079,128.671127,126.548759,128.489487,102.129051,2668346
2019-05-16,128.814529,130.124283,128.718933,129.904404,103.253685,3156096
2019-05-17,128.757172,129.455063,128.049713,128.412994,102.068253,2739579
2019-05-20,127.657745,129.474182,127.084129,129.177826,102.676170,3414667
2019-05-21,130.133850,131.032501,129.818359,130.449326,103.686798,2618661
2019-05-22,130.019119,130.736145,129.741867,130.353729,103.610825,1934891
2019-05-23,129.187378,129.187378,124.703636,126.567879,100.601669,5589196
2019-05-24,127.657745,128.346085,125.803062,126.462715,100.518089,2715521
2019-05-28,126.319313,126.806885,124.541107,124.722755,99.135094,5134605
2019-05-29,124.282982,124.550667,122.676865,123.986618,98.549942,3848234
2019-05-30,124.034416,124.254303,123.260040,123.871895,98.458801,2868027
2019-05-31,122.791588,122.791588,121.271507,121.405357,96.498283,3702108
2019-06-03,121.510513,122.906311,121.472275,122.629066,97.470917,4463177
2019-06-04,123.862335,126.902489,123.413002,126.854683,100.829628,4093521
2019-06-05,127.514343,127.734222,124.732315,125.707458,99.917778,3306720
2019-06-06,126.376671,126.816444,125.143402,126.405357,100.472488,2403917
2019-06-07,126.644356,128.795410,126.395790,127.447418,101.300751,2670856
2019-06-10,128.470367,129.397705,128.021027,128.814529,102.387405,3045220
2019-06-11,129.369019,130.458893,129.110901,129.971313,103.306862,3564036
2019-06-12,129.598465,129.961761,128.499039,128.938812,102.486191,2358416
2019-06-13,129.187378,130.277252,129.149139,129.789673,103.162498,3091244
2019-06-14,129.483749,129.904404,128.518158,129.206497,102.698952,2294192
2019-06-17,129.435944,130.047806,128.776291,129.015289,102.546974,2295029
2019-06-18,129.254303,131.156784,129.254303,130.382416,103.633614,3048776
2019-06-19,130.430206,132.275330,130.248566,131.051620,104.165550,2491990
2019-06-20,132.820267,133.403442,132.122375,132.743790,105.510544,3212266
2019-06-21,132.351822,133.403442,132.304016,133.078400,105.776512,5531980
2019-06-24,133.078400,133.986618,132.934998,133.221802,105.890503,2286556
2019-06-25,133.326965,133.412994,132.055450,132.275330,105.138206,2930055
2019-06-26,132.762909,133.537292,132.323135,132.428299,105.259781,2389692
2019-06-27,132.619507,133.173996,131.883362,132.428299,105.259781,2248691
2019-06-28,132.476105,133.021027,131.778198,131.835571,104.788673,6436979
2019-07-01,133.460800,135.267685,133.154877,133.728485,106.293228,3533074
2019-07-02,133.604202,134.254303,133.336517,134.053543,106.551575,2520546
2019-07-03,134.531555,135.583176,134.254303,135.315491,107.554657,2019198
2019-07-05,134.674957,135.267685,133.757172,135.162521,107.433060,2232896
2019-07-08,134.847031,135.076477,134.101334,134.388138,106.817558,2505484
2019-07-09,134.426392,134.789673,133.011475,133.202682,105.875290,3519999
2019-07-10,133.843216,135.669220,133.642441,134.292542,106.741570,2629539
2019-07-11,134.598465,135.353729,134.130020,135.028687,107.326691,2231013
2019-07-12,135.678772,136.634796,135.430206,136.462708,108.466515,2914365
2019-07-15,136.606125,137.198853,135.869980,137.017212,108.907265,2477242
2019-07-16,136.873810,137.705551,136.730408,137.217972,109.066818,3634536
2019-07-17,137.294449,137.476105,135.707458,136.778198,108.717285,6343258
2019-07-18,136.233276,143.699814,135.946457,143.049713,113.702148,13276460
2019-07-19,143.365204,144.913956,142.973236,143.097519,113.740173,7626072
2019-07-22,143.556412,145.258133,143.116638,143.154877,113.785751,4280860
2019-07-23,143.948380,144.091782,141.854691,143.766724,114.272072,3914341
2019-07-24,143.518158,144.789673,142.638626,143.432129,114.006111,3088210
2019-07-25,143.231354,143.996170,142.074570,143.776291,114.279678,3244797
2019-07-26,144.359467,144.751434,143.499039,144.703629,115.016739,3037898
2019-07-29,144.464630,144.818359,143.709366,144.244736,114.652008,2170973
2019-07-30,143.403442,143.785858,142.657745,143.183563,113.808540,2753804
2019-07-31,143.116638,143.575531,139.952194,141.720840,112.645889,3894153
2019-08-01,142.351822,146.099426,141.969406,143.709366,114.226471,6635824
2019-08-02,142.476105,146.223709,139.187378,140.774384,111.893593,8474378
2019-08-05,138.604202,138.718933,133.030594,134.569794,106.961952,7442185
2019-08-06,135.783936,136.204590,133.183563,134.541107,106.939133,5303952
2019-08-07,132.638626,133.441681,130.411087,132.992355,105.708145,6204767
2019-08-08,132.361374,134.244736,131.701721,133.938812,107.714783,5503111
2019-08-09,133.145309,133.183563,129.397705,130.143402,104.662506,5485852
2019-08-12,129.694077,129.894836,127.323135,127.791588,102.771141,4271759
2019-08-13,127.915871,130.564056,126.969406,129.818359,104.401093,4730117
2019-08-14,128.021027,128.260040,125.219887,125.478012,100.910530,5349453
2019-08-15,125.449333,126.548759,124.521988,126.118546,101.425674,3910889
2019-08-16,127.189293,128.671127,127.103249,127.877632,102.840324,3150552
2019-08-19,128.948380,130.334610,128.948380,129.101334,103.824448,3310695
2019-08-20,129.292542,129.330780,126.969406,127.151054,102.256027,3157456
2019-08-21,129.024857,129.961761,127.915871,128.346085,103.217079,2934762
2019-08-22,128.766724,129.713196,127.925430,128.412994,103.270882,2818865
2019-08-23,127.753349,128.355637,123.164436,123.871895,99.618896,5040046
2019-08-26,125.286804,125.525810,123.479927,124.273422,99.941803,2964259
2019-08-27,125.430206,125.908218,124.579353,125.401527,100.849030,4945488
2019-08-28,124.703636,127.045891,124.321220,126.921608,102.071495,2838426
2019-08-29,128.279160,129.722748,128.145309,128.948380,103.701447,3108503
2019-08-30,129.617584,130.086044,128.451248,129.569794,104.201187,3096788
2019-09-03,128.919693,128.967499,127.466537,128.202682,103.101746,2957983
2019-09-04,129.741867,130.430206,129.206497,130.325043,104.808556,2351303
2019-09-05,132.217972,135.468445,131.978973,134.770554,108.383682,5242134
2019-09-06,135.296371,135.305923,134.282990,134.388138,108.076149,2695333
2019-09-09,134.407272,136.730408,134.282990,136.328873,109.636909,4421024
2019-09-10,136.711288,139.063095,136.673035,138.671127,111.520576,5208766
2019-09-11,138.479919,138.738052,136.434036,137.284897,110.405762,4047706
2019-09-12,137.695984,137.705551,135.640533,137.304016,110.421112,2620648
2019-09-13,137.973236,138.288712,136.959854,137.351822,110.459579,2308104
2019-09-16,136.290634,137.323135,136.013382,136.214142,109.544624,2017211
2019-09-17,136.214142,136.214142,134.474182,135.946457,109.329361,3068127
2019-09-18,135.803055,136.042068,134.330780,135.965576,109.344749,2074846
2019-09-19,136.195023,138.652008,136.185471,136.682602,109.921371,3232035
2019-09-20,136.950287,137.504776,135.583176,135.640533,109.083336,5432296
2019-09-23,134.980881,135.965576,134.378586,135.822174,109.229408,1901523
2019-09-24,136.233276,136.606125,134.866150,135.449326,108.929565,3380254
2019-09-25,135.506699,137.313583,134.665390,136.864243,110.067429,2642928
2019-09-26,136.873810,137.552582,135.191208,137.237091,110.367287,2416051
2019-09-27,138.059280,138.709366,136.118546,136.940720,110.128944,2465213
2019-09-30,137.409180,140.124283,137.409180,139.024857,111.805046,4171866
2019-10-01,139.187378,140.869980,137.227539,137.342255,110.451881,3096997
2019-10-02,135.936905,136.013382,134.388138,135.458893,108.937271,3494477
2019-10-03,135.391968,135.822174,133.059280,135.774384,109.190987,3063525
2019-10-04,135.812622,136.768646,134.827911,136.701721,109.936760,2524626
2019-10-07,136.003830,136.424469,135.009567,135.066925,108.622017,2538119
2019-10-08,134.072662,134.292542,132.170166,132.294449,106.392372,3373768
2019-10-09,133.623322,134.158707,132.686417,133.527725,107.384201,2741357
2019-10-10,133.623322,135.544937,133.422562,134.923523,108.506714,2713010
2019-10-11,136.491394,138.145309,136.338425,136.481842,109.759926,3134653
2019-10-14,136.051620,136.166351,135.105164,135.793503,109.206352,2415737
2019-10-15,136.271515,137.399612,135.573608,136.711288,109.944435,3164673
